"Nhóm kiểm thử","Tên testcase","Cách thực hiện và Điều kiện PASS","Kết quả"
"Kiểm tra thanh ghi","reg_default_test","Chạy uvm_reg_hw_reset_seq trên register model để kiểm tra giá trị reset mặc định của các thanh ghi. PASS khi tất cả giá trị đọc về khớp reset value trong regmodel và không có UVM_ERROR/UVM_FATAL.","FAIL"
"Kiểm tra thanh ghi","reg_rw_test","Chạy uvm_reg_bit_bash_seq trên register model để kiểm tra khả năng đọc/ghi từng bit thanh ghi, bỏ qua bit không phù hợp theo cấu hình test. PASS khi các bit đọc lại đúng giá trị mong đợi và không có UVM_ERROR/UVM_FATAL.","FAIL"
"Kiểm tra thanh ghi","reg_w1c_test","Kiểm tra các bit thanh ghi kiểu write-one-to-clear bằng cách tạo trạng thái bit pending/status, ghi giá trị 1 vào bit W1C rồi đọc lại thanh ghi. PASS khi bit được clear đúng, các bit khác không bị thay đổi ngoài mong đợi và không có UVM_ERROR/UVM_FATAL.","FAIL"
"Kiểm tra truyền/ nhận Ethernet frame","full_100M_normal_uni_test","Cấu hình MAC full-duplex 100M ở chế độ unicast, ghi payload TX qua AHB, kích TX_CMD, đồng thời phát RX Ethernet frame hợp lệ từ PHY VIP. PASS khi TX/RX frame được scoreboard so khớp, RX interrupt xuất hiện, RX_LEN/RX_DATA đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"Kiểm tra truyền/ nhận Ethernet frame","full_10M_normal_uni_test","Cấu hình MAC full-duplex 10M ở chế độ unicast, ghi payload TX qua AHB, kích TX_CMD, đồng thời phát RX Ethernet frame hợp lệ từ PHY VIP. PASS khi TX/RX frame được scoreboard so khớp, RX interrupt xuất hiện, RX_LEN/RX_DATA đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"Kiểm tra truyền/ nhận Ethernet frame","full_100M_normal_bro_test","Cấu hình MAC full-duplex 100M ở chế độ broadcast, gửi TX frame và phát RX broadcast frame từ PHY VIP. PASS khi DUT chấp nhận broadcast frame, dữ liệu RX/TX khớp scoreboard và không có UVM_ERROR/UVM_FATAL.","FAIL"
"Kiểm tra truyền/ nhận Ethernet frame","full_10M_normal_bro_test","Cấu hình MAC full-duplex 10M ở chế độ broadcast, gửi TX frame và phát RX broadcast frame từ PHY VIP. PASS khi DUT chấp nhận broadcast frame, dữ liệu RX/TX khớp scoreboard và không có UVM_ERROR/UVM_FATAL.","FAIL"
"Kiểm tra truyền/ nhận Ethernet frame","full_100M_normal_multi_test","Cấu hình MAC full-duplex 100M ở chế độ multicast/hash match, gửi TX frame và phát RX multicast frame từ PHY VIP. PASS khi frame multicast hợp lệ được nhận, RX_LEN/RX_DATA đúng, TX path đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"Kiểm tra truyền/ nhận Ethernet frame","full_10M_normal_multi_test","Cấu hình MAC full-duplex 10M ở chế độ multicast/hash match, gửi TX frame và phát RX multicast frame từ PHY VIP. PASS khi frame multicast hợp lệ được nhận, RX_LEN/RX_DATA đúng, TX path đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"Kiểm tra truyền/ nhận Ethernet frame","full_100M_normal_pro_test","Cấu hình MAC full-duplex 100M ở chế độ promiscuous, gửi TX frame và phát RX frame với địa chỉ đích không cần match MAC. PASS khi DUT vẫn nhận frame, dữ liệu RX/TX khớp scoreboard và không có UVM_ERROR/UVM_FATAL.","FAIL"
"Kiểm tra truyền/ nhận Ethernet frame","full_10M_normal_pro_test","Cấu hình MAC full-duplex 10M ở chế độ promiscuous, gửi TX frame và phát RX frame với địa chỉ đích không cần match MAC. PASS khi DUT vẫn nhận frame, dữ liệu RX/TX khớp scoreboard và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra truyền nhận PAUSE frame","full_100M_rx_pause_test","Cấu hình MAC full-duplex 100M có RX PAUSE enabled, đang truyền frame thì PHY VIP phát PAUSE frame hợp lệ với pause_timer. PASS khi DUT nhận PAUSE, tạo RX_PAUSE_SEEN interrupt, tạm dừng TX theo pause_timer đúng dung sai và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra truyền nhận PAUSE frame","full_10M_rx_pause_test","Cấu hình MAC full-duplex 10M có RX PAUSE enabled, đang truyền frame thì PHY VIP phát PAUSE frame hợp lệ với pause_timer. PASS khi DUT nhận PAUSE, tạo RX_PAUSE_SEEN interrupt, tạm dừng TX theo pause_timer đúng dung sai và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra truyền nhận PAUSE frame","full_100M_tx_pause_test","Cấu hình MAC full-duplex 100M, phát nhiều RX frame để làm đầy RX buffer và quan sát TX từ DUT. PASS khi DUT phát PAUSE frame khi RX buffer đầy, phát PAUSE release sau khi buffer được đọc giải phóng, các frame buffered đọc ra đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra truyền nhận PAUSE frame","full_10M_tx_pause_test","Cấu hình MAC full-duplex 10M, phát nhiều RX frame để làm đầy RX buffer và quan sát TX từ DUT. PASS khi DUT phát PAUSE frame khi RX buffer đầy, phát PAUSE release sau khi buffer được đọc giải phóng, các frame buffered đọc ra đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra interrupt","int_tx_done_100M_test","Cấu hình MAC 100M, enable IER bit TX_DONE, ghi TX_LEN/TX_DATA và kích TX_CMD. PASS khi interrupt xuất hiện, FSR bit TX_DONE được set đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
"kiểm tra interrupt","int_tx_done_10M_test","Cấu hình MAC 10M, enable IER bit TX_DONE, ghi TX_LEN/TX_DATA và kích TX_CMD. PASS khi interrupt xuất hiện, FSR bit TX_DONE được set đúng và không có UVM_ERROR/UVM_FATAL.","FAIL"
